parent,name
null,extinct species
extinct species,plantae
extinct species,animalia
plantae,tracheophyta
animalia,arthropoda
animalia,mollusca
animalia,chordata
plantae,bryophyta
animalia,nemertina
animalia,annelida
plantae,marchantiophyta
animalia,platyhelminthes
plantae,rhodophyta
tracheophyta,magnoliopsida
arthropoda,insecta
mollusca,gastropoda
chordata,actinopterygii
chordata,aves
tracheophyta,polypodiopsida
arthropoda,maxillopoda
mollusca,bivalvia
chordata,mammalia
chordata,reptilia
chordata,amphibia
arthropoda,malacostraca
tracheophyta,liliopsida
arthropoda,arachnida
arthropoda,diplopoda
chordata,cephalaspidomorphi
bryophyta,bryopsida
nemertina,enopla
annelida,clitellata
arthropoda,ostracoda
marchantiophyta,jungermanniopsida
platyhelminthes,turbellaria
rhodophyta,florideophyceae
magnoliopsida,rosales
magnoliopsida,malpighiales
insecta,ephemeroptera
gastropoda,stylommatophora
magnoliopsida,caryophyllales
actinopterygii,acipenseriformes
aves,passeriformes
polypodiopsida,polypodiales
aves,strigiformes
maxillopoda,cyclopoida
insecta,lepidoptera
bivalvia,unionoida
actinopterygii,cypriniformes
mammalia,cetartiodactyla
aves,columbiformes
reptilia,squamata
insecta,plecoptera
aves,anseriformes
aves,psittaciformes
gastropoda,architaenioglossa
gastropoda,hygrophila
aves,gruiformes
actinopterygii,cyprinodontiformes
magnoliopsida,gentianales
magnoliopsida,asterales
magnoliopsida,fabales
amphibia,anura
gastropoda,sorbeoconcha
magnoliopsida,violales
magnoliopsida,cucurbitales
gastropoda,littorinimorpha
aves,accipitriformes
mammalia,diprotodontia
mammalia,rodentia
aves,procellariiformes
magnoliopsida,malvales
malacostraca,decapoda
magnoliopsida,myrtales
insecta,diptera
aves,falconiformes
liliopsida,poales
arachnida,opiliones
mammalia,peramelemorphia
reptilia,testudines
aves,caprimulgiformes
magnoliopsida,ebenales
insecta,hemiptera
magnoliopsida,campanulales
aves,charadriiformes
aves,piciformes
gastropoda,patellogastropoda
insecta,orthoptera
actinopterygii,salmoniformes
actinopterygii,scorpaeniformes
aves,galliformes
aves,cuculiformes
mammalia,didelphimorphia
mammalia,carnivora
actinopterygii,perciformes
magnoliopsida,sapindales
magnoliopsida,scrophulariales
mammalia,perissodactyla
arachnida,holothyroidae
liliopsida,liliales
aves,struthioniformes
insecta,coleoptera
diplopoda,spirobolida
cephalaspidomorphi,petromyzontiformes
liliopsida,orchidales
bryopsida,hypnales
actinopterygii,gasterosteiformes
enopla,hoplonemertea
magnoliopsida,lamiales
magnoliopsida,laurales
magnoliopsida,theales
mammalia,sirenia
insecta,trichoptera
clitellata,megadrilaceae
amphibia,caudata
magnoliopsida,celastrales
aves,pelecaniformes
insecta,dermaptera
magnoliopsida,capparales
ostracoda,podocopida
insecta,blattodea
insecta,odonata
magnoliopsida,rhamnales
mammalia,eulipotyphla
actinopterygii,siluriformes
diplopoda,polydesmida
mammalia,primates
aves,suliformes
mammalia,chiroptera
arachnida,araneae
aves,podicipediformes
mammalia,lagomorpha
actinopterygii,osmeriformes
insecta,phasmida
jungermanniopsida,porellales
turbellaria,tricladida
magnoliopsida,apiales
magnoliopsida,santalales
magnoliopsida,proteales
malacostraca,amphipoda
mammalia,dasyuromorphia
maxillopoda,calanoida
aves,bucerotiformes
magnoliopsida,dipsacales
florideophyceae,ceramiales
magnoliopsida,oxalidales
rosales,rosaceae
malpighiales,euphorbiaceae
ephemeroptera,acanthametropodidae
stylommatophora,achatinellidae
caryophyllales,amaranthaceae
acipenseriformes,acipenseridae
passeriformes,acrocephalidae
polypodiales,pteridaceae
stylommatophora,helicarionidae
strigiformes,strigidae
cyclopoida,cyclopidae
lepidoptera,noctuidae
passeriformes,fringillidae
unionoida,unionidae
cypriniformes,cyprinidae
cetartiodactyla,bovidae
columbiformes,columbidae
squamata,scincidae
plecoptera,chloroperlidae
anseriformes,anatidae
stylommatophora,amastridae
psittaciformes,psittacidae
architaenioglossa,neocyclotidae
hygrophila,planorbidae
passeriformes,meliphagidae
gruiformes,rallidae
cyprinodontiformes,cyprinodontidae
cyprinodontiformes,poeciliidae
passeriformes,sturnidae
gentianales,rubiaceae
lepidoptera,argyresthiidae
asterales,asteraceae
fabales,fabaceae
anura,bufonidae
sorbeoconcha,pleuroceridae
violales,passifloraceae
cucurbitales,begoniaceae
littorinimorpha,hydrobiidae
accipitriformes,accipitridae
diprotodontia,potoroidae
squamata,bolyeridae
rodentia,echimyidae
procellariiformes,procellariidae
malvales,malvaceae
stylommatophora,euconulidae
decapoda,cambaridae
stylommatophora,vertiginidae
myrtales,myrtaceae
diptera,dolichopodidae
falconiformes,falconidae
violales,flacourtiaceae
poales,poaceae
opiliones,podoctidae
peramelemorphia,chaeropodidae
passeriformes,mohoidae
unionoida,iridinidae
cyprinodontiformes,goodeidae
cypriniformes,catostomidae
testudines,testudinidae
stylommatophora,subulinidae
caprimulgiformes,trochilidae
ebenales,sapotaceae
hemiptera,pseudococcidae
squamata,dipsadidae
campanulales,campanulaceae
charadriiformes,scolopacidae
piciformes,picidae
lepidoptera,coleophoridae
patellogastropoda,nacellidae
rodentia,muridae
orthoptera,acrididae
squamata,teiidae
salmoniformes,salmonidae
scorpaeniformes,cottidae
galliformes,phasianidae
cuculiformes,cuculidae
anura,craugastoridae
didelphimorphia,didelphidae
carnivora,eupleridae
perciformes,cichlidae
sapindales,sapindaceae
architaenioglossa,cyclophoridae
squamata,iguanidae
poales,cyperaceae
scrophulariales,gesneriaceae
lepidoptera,lycaenidae
perissodactyla,rhinocerotidae
holothyroidae,holothyridae
liliales,dracaenaceae
struthioniformes,casuariidae
diptera,drosophilidae
coleoptera,curculionidae
polypodiales,dryopteridaceae
carnivora,canidae
lepidoptera,nepticulidae
perissodactyla,equidae
perciformes,percidae
spirobolida,pachybolidae
petromyzontiformes,petromyzontidae
orchidales,orchidaceae
scrophulariales,scrophulariaceae
hypnales,brachytheciaceae
passeriformes,ploceidae
cyprinodontiformes,fundulidae
hygrophila,lymnaeidae
sapindales,rutaceae
gasterosteiformes,gasterosteidae
lepidoptera,pyralidae
rodentia,capromyidae
hoplonemertea,prosorhochmidae
passeriformes,acanthizidae
stylommatophora,streptaxidae
charadriiformes,haematopodidae
stylommatophora,charopidae
littorinimorpha,cochliopidae
stylommatophora,hygromiidae
lamiales,boraginaceae
laurales,hernandiaceae
passeriformes,callaeidae
cetartiodactyla,hippopotamidae
stylommatophora,endodontidae
opiliones,phalangodidae
theales,dipterocarpaceae
squamata,diplodactylidae
sirenia,dugongidae
trichoptera,hydropsychidae
coleoptera,dytiscidae
megadrilaceae,megascolecidae
caudata,salamandridae
celastrales,aquifoliaceae
pelecaniformes,ardeidae
rodentia,cricetidae
dermaptera,labiduridae
diprotodontia,macropodidae
rodentia,chinchillidae
squamata,tropiduridae
stylommatophora,lauriidae
capparales,brassicaceae
stylommatophora,orthalicidae
lepidoptera,zygaenidae
lepidoptera,nymphalidae
rosales,chrysobalanaceae
podocopida,cyprididae
anura,ranidae
littorinimorpha,littorinidae
gentianales,loganiaceae
patellogastropoda,lottidae
stylommatophora,pupillidae
decapoda,palaemonidae
peramelemorphia,thylacomyidae
blattodea,blattellidae
coleoptera,carabidae
odonata,coenagrionidae
stylommatophora,strophocheilidae
opiliones,zalmoxidae
passeriformes,turdidae
passeriformes,monarchidae
podocopida,candonidae
anura,dicroglossidae
orthoptera,tettigoniidae
hypnales,neckeraceae
carnivora,phocidae
carnivora,mustelidae
rhamnales,rhamnaceae
eulipotyphla,nesophontidae
psittaciformes,strigopidae
siluriformes,ictaluridae
gentianales,apocynaceae
stylommatophora,oleacinidae
littorinimorpha,assimineidae
polydesmida,paradoxosomatidae
stylommatophora,cerastidae
decapoda,astacidae
primates,palaeopropithecidae
carnivora,felidae
stylommatophora,partulidae
testudines,pelomedusidae
ephemeroptera,ephemeridae
peramelemorphia,peramelidae
suliformes,phalacrocoracidae
squamata,gekkonidae
anura,phyllomedusidae
hygrophila,physidae
charadriiformes,alcidae
passeriformes,passerellidae
chiroptera,vespertilionidae
siluriformes,schilbeidae
architaenioglossa,diplommatinidae
araneae,sparassidae
caudata,plethodontidae
stylommatophora,camaenidae
podicipediformes,podicipedidae
passeriformes,locustellidae
lagomorpha,prolagidae
osmeriformes,retropinnidae
phasmida,diapheromeridae
anura,rhacophoridae
chiroptera,pteropodidae
passeriformes,tyrannidae
passeriformes,icteridae
porellales,radulaceae
anura,myobatrachidae
trichoptera,rhyacophilidae
tricladida,dugesiidae
cetartiodactyla,cervidae
apiales,apiaceae
santalales,santalaceae
caryophyllales,caryophyllaceae
lepidoptera,geometridae
cucurbitales,cucurbitaceae
eulipotyphla,solenodontidae
spirobolida,spiroboleliidae
lamiales,verbenaceae
proteales,proteaceae
diptera,tabanidae
amphipoda,crangonyctidae
cetartiodactyla,suidae
decapoda,atyidae
squamata,gerrhosauridae
pelecaniformes,threskiornithidae
dasyuromorphia,thylacinidae
lepidoptera,tischeriidae
passeriformes,acanthisittidae
trichoptera,leptoceridae
santalales,loranthaceae
littorinimorpha,pomatiidae
calanoida,diaptomidae
passeriformes,oriolidae
squamata,typhlopidae
bucerotiformes,upupidae
dipsacales,valerianaceae
ceramiales,delesseriaceae
violales,violaceae
stylommatophora,pristilomatidae
stylommatophora,ariophantidae
oxalidales,cunoniaceae
myrtales,thymelaeaceae
primates,pitheciidae
carnivora,otariidae
stylommatophora,zonitidae
passeriformes,zosteropidae
rosaceae,acaena
euphorbiaceae,acalypha
acanthametropodidae,acanthametropus
achatinellidae,achatinella
amaranthaceae,achyranthes
acipenseridae,acipenser
acrocephalidae,acrocephalus
pteridaceae,adiantum
helicarionidae,advena
strigidae,aegolius
cyclopidae,afrocyclops
noctuidae,agrotis
fringillidae,akialoa
unionidae,alasmidonta
cyprinidae,alburnus
bovidae,alcelaphus
columbidae,alectroenas
scincidae,alinea
chloroperlidae,alloperla
columbidae,alopecoenas
anatidae,alopochen
amastridae,amastra
psittacidae,amazona
neocyclotidae,amphicyclotulus
planorbidae,amphigyra
cyprinidae,anabarilius
anatidae,anas
meliphagidae,anthornis
rallidae,aphanapteryx
cyprinodontidae,aphanius
poeciliidae,aplocheilichthys
sturnidae,aplonis
psittacidae,ara
rubiaceae,argocoffeopsis
argyresthiidae,argyresthia
asteraceae,argyroxiphium
fabaceae,astragalus
bufonidae,atelopus
pleuroceridae,athearnia
rallidae,atlantisia
achatinellidae,auriculella
cyprinidae,barbus
passifloraceae,basananthe
begoniaceae,begonia
hydrobiidae,belgrandiella
accipitridae,bermuteo
potoroidae,bettongia
amaranthaceae,blutaparon
bolyeridae,bolyeria
echimyidae,boromys
bovidae,bos
echimyidae,brotomys
procellariidae,bulweria
hydrobiidae,bythinella
malvaceae,byttneria
rallidae,cabalus
euconulidae,caldwellia
columbidae,caloenas
potoroidae,caloprymnus
cambaridae,cambarellus
vertiginidae,campolaemus
myrtaceae,campomanesia
dolichopodidae,campsicnemus
anatidae,camptorhynchus
falconidae,caracara
amastridae,carelia
fringillidae,carpodacus
flacourtiaceae,casearia
poaceae,cenchrus
asteraceae,centaurea
podoctidae,centrobunus
chaeropodidae,chaeropus
mohoidae,chaetoptila
iridinidae,chambardia
goodeidae,characodon
catostomidae,chasmistes
